physical asset,location,ownership,commodity,status,Countries,USA states
Other Energy Assets,"USA,Great Lakes States,Inland Waterways Jurisdictions","Marathon Petroleum Corporation,MPLX LP","Petroleum-Based Liquid,Crude Oil,Natural Gas","Under Construction,Operational,Ceased Use",USA,
Pipeline,"USA,Great Lakes States,Coastal Areas,Inland Waterways,Permian Basin,Bakken Basins,Delaware Basin,Marcellus Region,Utica Region,Garyville,North Dakota,Native American Tribal Lands,Federal Lands","Marathon Petroleum Corporation,MPLX LP,Government Parties","Natural Gas Liquids,Other Hydrocarbon-Based Products,Crude Oil,Natural Gas,Renewable Fuels,Chemicals,Renewable Diesel","Operational,Under Construction,End Of Life,Operational (Partially Shut Down),Under Litigation",USA,"Delaware,North Dakota"
Pipeline And Terminal Infrastructure,,"Marathon Petroleum Corporation,MPLX LP","Natural Gas,Natural Gas Liquids,Refined Products","Operational,Impaired",,
Pollution Control Equipment,,,,,,
"Processing (Facilities,Equipment)","USA,Galveston Bay",Marathon Petroleum Corporation,"Crude Oil,Natural Gas,Natural Gas Liquids,Feedstocks,Refined Products,Other Hydrocarbon-Based Products,Renewables,Electricity",Operational,USA,
Properties,"Martinez,California,Spiritwood,North Dakota,Gallup,East Texas","Marathon Petroleum Corporation,MPLX LP,ADM,Neste","Renewable Fuels,Crude Oil,Refined Products","Operational,Under Construction,End-Of-Life,Impaired,Under Impairment Review",USA,"California,North Dakota,Texas"
"Property,Plant And Equipment","Populated Areas,Environmentally Sensitive Waters,USA Coastal And Great Lakes States,States Bordering Inland Waterways On Which We Operate,International Jurisdictions In Which We Operate,California","MPLX LP,Marathon Petroleum Corporation","Crude Oil,Feedstocks,Refined Products,Renewable Diesel,Natural Gas,Natural Gas Liquids",Operational,USA,California
Rail Cars,,,Crude Oil,,,
Rail Transportation Systems,Market Areas,Marathon Petroleum Corporation,Refined Products,Operational,,
Railcars,,MPLX LP,"Crude Oil,Refined Products",,,
Railways,Various  Locations,"Marathon Petroleum Corporation,MPLX LP",Distillate Fuel,Operational,,
Refined Petroleum Products Infrastructure,"Galveston Bay,Texas,Garyville,Louisiana,Catlettsburg,Kentucky,Robinson,Illinois,Detroit,Michigan,El Paso,Martinez,Gallup,Gulf Coast,Mid-Continent,West Coast,Texas City,St. Paul Park,Minnesota,Canton,Ohio,Mandan,North Dakota,Salt Lake City,Utah,Los Angeles,California,Anacortes,Washington,Kenai,Alaska,Dickinson,Chicago","Marathon Petroleum Corporation,MPLX LP","Refined Products,Petroleum-Based Transportation Fuels,Crude Oil,Biodiesel,Renewable Diesel,Gasoline,Fuel,Distillates,Other Hydrocarbon-Based Products,Chemicals","Operational,End-Of-Life,Idled,Under Construction",USA,"Alaska,California,Illinois,Kentucky,Louisiana,Michigan,Minnesota,North Dakota,Ohio,Texas,Utah,Washington"
Refineries,"Gallup,New Mexico; Los Angeles; Texas Gulf Coast Southeast Of Houston,Texas; Robinson,Illinois; Mandan,North Dakota; Salt Lake City,Utah; Martinez,Chicago; USAGC; LA CARB; Mid-Continent; West Coast; Galveston Bay; Garyville,Findlay","Marathon Petroleum Corporation,MPLX LP","Crude Oil,Refined Products,Propane,Heavy Fuel,Gasoline,Jet Fuel,Diesel","Operational,Indefinitely Idled,Under Construction,Strategically Repositioning,Adversely Affected",USA,"Illinois,New Mexico,North Dakota,Texas,Utah"
Refinery Processing Units,,,Crude Oil,,,
South Texas Gateway's Crude Oil Export Facility,Refining & Marketing,"7-Eleven Inc.,Marathon Petroleum Corporation",,"End-Of-Life,Operational",,
"Speedway's P&E (Facilities) 


Let me know when you are ready for the next cell!","Gallup refinery,USA; U.S. Coastal and Great Lakes States; States Bordering Inland Waterways","Marathon Petroleum Corporation,MPLX LP","Renewable Diesel,Petroleum-Based Liquid,Crude Oil,Feedstocks,Refined Products,Renewable Fuels,Chemicals",Decommissioned,USA,
Terminals,"Fort Berthold Reservation,Lake Oahe,North Dakota","MPLX LP,Tesoro High Plains Pipeline Company LLC","Crude Oil,Natural Gas","Operational,Under Litigation",USA,North Dakota
Tesoro High Plains Pipeline,Permian Basin,MPLX LP,Natural Gas,Operational,USA,
Transportation Fuel,"Findlay,Ohio","MPLX LP,Marathon Petroleum Corporation","Crude Oil,Light Products",Operational,USA,Ohio
transportation infrastructure,,MPLX LP,"Crude Oil,Refined Products",Under Impairment Review,,
Trucks,Market Areas,"MPLX LP,Marathon Petroleum Corporation","Crude Oil,Refined Products",Operational,,
Cogeneration Facility,"Madison,Wisconsin",Marathon Petroleum Corporation,Biobased Feedstocks,Operational,USA,Wisconsin
Virent's Advanced Biofuels Facility,"Market Areas,Refineries",Marathon Petroleum Corporation,"Refined Products,Propane",Operational,,
Trailers,Petroleum Refineries,,"Fuel,Refined Products",Operational,,
Utility Lines,USA,,Refined Products,,USA,
Convenience Stores,"Populated Areas,Environmentally Sensitive Waters,USA Coastal And Great Lakes States,States Bordering Inland Waterways On Which We Operate,International Jurisdictions In Which We Operate",MPLX LP,"Light Products,Heavy Crude Oils,Crude Oil,Renewable Fuels,Chemicals",Operational,USA,
fleet of boats and barges,Galveston Bay,MPLX LP,"Crude Oil,Natural Gas,Natural Gas Liquids,Refined Products",Operational,,
Energy Transfer Crude Oil Pipeline,"Spiritwood,North Dakota","Green Bison Soy Processing LLC,ADM,Marathon Petroleum Corporation",Soybean Crude Oil,Operational,USA,North Dakota
Soybean Processing Complex,Spiritwood,Marathon Petroleum Corporation,Soybeans,Operational,Canada,
Spiritwood Facility,Catlettsburg,,"Crude Oil,Refined Products",Operational,USA,
Catlettsburg Refinery,Kentucky,Marathon Petroleum Corporation,"Crude Oil,Refined Products,Renewable Diesel","Operational,Decommissioned,Under Construction,Decommissioning",USA,Kentucky
MarkWest Javelina Company,,MPLX LP,Crude Oil,,,
MarkWest Gas Services,Near Gallup Refinery,MPLX LP,Refined Products,Abandoned,USA ,New Mexico
Renewable Diesel Facility,Western USA,MPLX LP,"Crude Oil,Petroleum Products","Operational,Abandoned",USA,
Refinery Asset Groups,Gallup,Marathon Petroleum Corporation,Renewable Diesel,Indefinite Idling,USA,
Salt Lake City Refinery,Utah,Marathon Petroleum Corporation,"Corn Crude Oil,Soybean Crude Oil,Fats And Greases",Operational,USA,Utah
Propane Production Facilities,Refineries,Marathon Petroleum Corporation,Heavy Residual Fuel,Operational,,
Heavy Fuel Production Facilities,,Marathon Petroleum Corporation,"Refined Products,Crude Oil",Operational,,
Hydrofluoric Acid Alkylation Units,"USA Coastal And Great Lakes States,Inland Waterways Bordering States,Jurisdictions Of Operation",Marathon Petroleum Corporation,"Crude Oil,Refined Products",,USA,
Tanker,"USA Coastal And Great Lakes States,Inland Waterways Bordering States,Jurisdictions In Which We Operate",Marathon Petroleum Corporation,"Crude Oil,Feedstocks,Refined Products",,USA,
Rail Car,Garyville,MPLX LP,Refined Products,Operational,USA,
Garyville Refinery,"Gallup Refinery,Martinez Refinery",Marathon Petroleum Corporation,Renewable Diesel,"Operational,Decommissioned,Under Construction,Decommissioning",USA,
Gray Oak Pipeline,,,,Operational,,
Star Project,"Galveston Bay,Marcellus Shale,Utica Shale,Permian Basin",,"Crude Oil,Refined Petroleum Products","Under Construction,Operational",USA,
East Texas G&P Asset Group,"USA,East Texas","Marathon Petroleum Corporation,MPLX LP","Crude Oil,Gasoline,Distillates,Natural Gas,Natural Gas Liquids,Refined Products,Other Hydrocarbon-Based Products,Renewables","Operational,Impaired",USA,Texas
Private Domestic Fleets Of Inland Petroleum Product Barges,Residential Or Commercial Construction,,Natural Gas,Being Installed,,
Marine Operations,USA,"MPLX LP,Marathon Petroleum Corporation","Refined Products,Gasoline,Distillates,Natural Gas,Natural Gas Liquids,Other Hydrocarbon-Based Products,Renewables",Operational,USA,
refined product pipelines,"USA Gulf Coast,Martinez","South Texas Gateway,Marathon Petroleum Corporation","Crude Oil,Natural Gas,Natural Gas Liquids,Refined Products",Operational,USA,California
