physical asset,location,ownership,commodity,status,Countries
Spiritwood Facility,Catlettsburg,,"Crude Oil, Refined Products",Operational,"United States, Kentucky"
Catlettsburg Refinery,Kentucky,Marathon Petroleum Corporation,"Crude Oil, Refined Products, Renewable Diesel","Operational, Decommissioned, Under Construction, Decommissioning",N/A
MarkWest Javelina Company,,MPLX LP,Crude Oil,,N/A
MarkWest Gas Services,Near Gallup Refinery,MPLX LP,Refined Products,Abandoned,"USA 
New Mexico"
Renewable Diesel Facility,Western USA,MPLX LP,"Crude Oil, Petroleum Products","Operational, Abandoned",USA
Refinery Asset Groups,Gallup,Marathon Petroleum Corporation,Renewable Diesel,Indefinite Idling,United States
Salt Lake City Refinery,Utah,Marathon Petroleum Corporation,"Corn Oil, Soybean Oil, Fats And Greases",Operational,United States
Propane Production Facilities,Refineries,Marathon Petroleum Corporation,Heavy Residual Fuel Oil,Operational,N/A
Heavy Fuel Oil Production Facilities,,Marathon Petroleum Corporation,"Refined Products, Crude Oil",Operational,N/A
Hydrofluoric Acid Alkylation Units,"USA Coastal And Great Lakes States, Inland Waterways Bordering States, Jurisdictions Of Operation",Marathon Petroleum Corporation,"Crude Oil, Refined Products",,USA
Tanker,"USA Coastal And Great Lakes States, Inland Waterways Bordering States, Jurisdictions In Which We Operate",Marathon Petroleum Corporation,"Crude Oil, Feedstocks, Refined Products",,USA
Rail Car,Garyville,MPLX LP,Refined Products,Operational,"United States, Louisiana"
Garyville Refinery,"Gallup Refinery, Martinez Refinery",Marathon Petroleum Corporation,Renewable Diesel,"Operational, Decommissioned, Under Construction, Decommissioning",United States
Gray Oak Pipeline,,,,Operational,N/A
Star Project ,"Galveston Bay, Marcellus Shale, Utica Shale, Permian Basin",,"Crude Oil, Refined Petroleum Products","Under Construction, Operational",United States
East Texas G&P Asset Group,"USA, East Texas","Marathon Petroleum Corporation, MPLX LP","Crude Oil, Gasoline, Distillates, Natural Gas, Natural Gas Liquids, Refined Products, Other Hydrocarbon-Based Products, Renewables","Operational, Impaired","USA, Texas"
Private Domestic Fleets Of Inland Petroleum Product Barges,Residential Or Commercial Construction,,Natural Gas,Being Installed,N/A
Marine Operations,USA,"MPLX LP, Marathon Petroleum Corporation","Refined Products, Gasoline, Distillates, Natural Gas, Natural Gas Liquids, Other Hydrocarbon-Based Products, Renewables",Operational,N/A
refined product pipelines,"USA Gulf Coast, Martinez","South Texas Gateway,Marathon Petroleum Corporation","Oil, Natural Gas, Natural Gas Liquids, Refined Products",Operational,"USA, California"
